instance,snapshot,seed,heuristic,hv2d
abz6,3,0,activity,0.8879288569728727
abz6,3,1,activity,0.8879288569728727
abz6,3,2,activity,0.8879288569728727
abz6,3,3,activity,0.8879288569728727
abz6,3,4,activity,0.8879288569728727
abz6,3,0,mo_dyn_hd_cacd,1.1256684271504172
abz6,3,1,mo_dyn_hd_cacd,1.1256684271504172
abz6,3,2,mo_dyn_hd_cacd,1.1256684271504172
abz6,3,3,mo_dyn_hd_cacd,1.1256684271504172
abz6,3,4,mo_dyn_hd_cacd,1.1256684271504172
abz6,3,0,nsga2,1.2098537685137831
abz6,3,0,nsga3,1.2097954133483637
abz6,3,1,nsga2,1.2098056422460435
abz6,3,1,nsga3,1.209105441147307
abz6,3,2,nsga2,1.2075454298746437
abz6,3,2,nsga3,1.208399647207407
abz6,3,3,nsga2,1.2098482365589158
abz6,3,3,nsga3,1.208782595913312
abz6,3,4,nsga2,1.2098092867257444
abz6,3,4,nsga3,1.2072024399748107
abz6,3,0,dom,1.1203043097059715
abz6,3,1,dom,1.1203043097059715
abz6,3,2,dom,1.1203043097059715
abz6,3,3,dom,1.1203043097059715
abz6,3,4,dom,1.1203043097059715
abz6,3,0,wdeg,1.1630902578447644
abz6,3,1,wdeg,1.1630902578447644
abz6,3,2,wdeg,1.1630902578447644
abz6,3,3,wdeg,1.1630902578447644
abz6,3,4,wdeg,1.1630902578447644
abz6,3,0,activity,1.0237573976849292
abz6,3,1,activity,1.0237573976849292
abz6,3,2,activity,1.0237573976849292
abz6,3,3,activity,1.0237573976849292
abz6,3,4,activity,1.0237573976849292
abz6,3,0,mo_dyn_hd_cacd,1.1256684271504172
abz6,3,1,mo_dyn_hd_cacd,1.1256684271504172
abz6,3,2,mo_dyn_hd_cacd,1.1256684271504172
abz6,3,3,mo_dyn_hd_cacd,1.1256684271504172
abz6,3,4,mo_dyn_hd_cacd,1.1256684271504172
abz6,3,0,nsga2,1.2098537685137831
abz6,3,0,nsga3,1.2097954481405329
abz6,3,1,nsga2,1.2098077819644355
abz6,3,1,nsga3,1.209105441147307
abz6,3,2,nsga2,1.2075454298746437
abz6,3,2,nsga3,1.208399647207407
abz6,3,3,nsga2,1.2098482365589158
abz6,3,3,nsga3,1.208782021842524
abz6,3,4,nsga2,1.2098092867257444
abz6,3,4,nsga3,1.2072024399748107
abz6,4,0,dom,1.163625687722177
abz6,4,1,dom,1.163625687722177
abz6,4,2,dom,1.163625687722177
abz6,4,3,dom,1.163625687722177
abz6,4,4,dom,1.163625687722177
abz6,4,0,wdeg,1.184447568772218
abz6,4,1,wdeg,1.184447568772218
abz6,4,2,wdeg,1.184447568772218
abz6,4,3,wdeg,1.184447568772218
abz6,4,4,wdeg,1.184447568772218
abz6,4,0,activity,0.010000000000000018
abz6,4,1,activity,0.010000000000000018
abz6,4,2,activity,0.010000000000000018
abz6,4,3,activity,0.010000000000000018
abz6,4,4,activity,0.010000000000000018
abz6,4,0,mo_dyn_hd_cacd,1.1722591632485644
abz6,4,1,mo_dyn_hd_cacd,1.1722591632485644
abz6,4,2,mo_dyn_hd_cacd,1.1722591632485644
abz6,4,3,mo_dyn_hd_cacd,1.1722591632485644
